,,,,,,,,,,
Theme,Category,Function,Feature,Subscription Tier,Free Tier,TeamDesigner Tier,TeamOperator Tier,Enterprise Tier,Pricing page?,Docs
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Account Management,Profile,View Profile,View your profile.,Free,x,,,x,,https://docs.layer5.io/cloud/getting-started/getting-started-with-layer5-account/#7-viewing-your-layer5-profile
Account Management,Profile,Edit Account,Update details of your user account.,Free,x,,,x,,
Account Management,Profile,Reset Pasword,Perform a password reset for your user account.,Free,x,,,x,,
Account Management,Profile,Delete Account,Delete your user account.,Free,x,,,x,,
Account Management,Profile,Connect your Github Account,Link your social sign-in with GitHub to your existing user account.,Team,,x,,x,,
Account Management,Profile,Connect your Google Account,Link your social sign-in with Google to your existing user account.,Team,,x,,x,,
Account Management,Subscription,View Subcription,List and see details of active and inactive subscriptions.,Team,x,x,,x,,
Account Management,Plans,View Plans,Explore subscription plans and compare their features.,Team,x,x,,x,,
Catalog Management,Catalog ,,Export a copy of a design to your local system.,Free,x,x,,x,,https://docs.layer5.io/cloud/catalog/
Catalog Management,Catalog ,Share Design,"Share design with anyone within your organization, and make your design easily accessible to all relevant team members.",Free,x,x,,x,,https://docs.layer5.io/kanvas/designer/share-resource/
Catalog Management,Catalog,Clone Design,Clone any published design to customise it according to your use cases,Free,x,x,,x,,https://docs.layer5.io/kanvas/tasks/designs/cloning-a-design/
Catalog Management,Applications ,View Applications,,,,,,,,
Catalog Management,Designs ,View Designs,View all public and published designs of other team members and private of signed-in user,Free,,x,,x,,
Catalog Management,Filters,View Filters,View all public and published filters of other team members and private of signed-in user,Free,,x,,x,,
Catalog Management,Catalog Requests,View Catalog Requests,View the catalog publication request queue,Enterprise,,x,,x,,
Catalog Management,Catalog Requests,Approve Catalog Request,Approve catalog publication requests,Enterprise,,x,,x,,
Catalog Management,Catalog Requests,Deny Catalog Request,Deny catalog publication requests,Enterprise,,x,,x,,
Catalog Management,Designs,Create new design,Create new Meshery design,Free,,x,,x,,https://docs.meshery.io/guides/configuration-management/creating-a-meshery-design
Catalog Management,Designs,Import Design,Import a design,Free,,x,,x,,https://docs.meshery.io/extensions/importing-a-design
Catalog Management,Designs,Import Design,Import a design from Kubernetes Manifest,Free,,x,,x,,https://docs.meshery.io/guides/configuration-management/importing-designs#import-designs-using-meshery-cli
Catalog Management,Designs,Import Design ,Import a design from Meshery Design (YAML),Free,,x,,x,,https://docs.layer5.io/kanvas/getting-started/starting-helm/#importing-a-design
Catalog Management,Designs,Import Design,Import a design from Helm Chart,Free,,x,,x,,https://docs.meshery.io/guides/configuration-management/importing-designs#import-designs-using-meshery-cli
Catalog Management,Designs,Import Design ,Import a design from Docker Compose,Free,,x,,x,,https://docs.meshery.io/guides/configuration-management/importing-designs#import-designs-using-meshery-cli
Catalog Management,Designs,Import Design ,Import a design from Meshery Design (OCI Image),Free,,x,,x,,
